alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,instance_types
0.0,0.3991,1023289,2563991.530944625,52,2,{'c6gd.2xlarge_use1-az6': 13}
0.01,0.3991,1023289,2563991.530944625,52,2,{'c6gd.2xlarge_use1-az6': 13}
0.02,0.3991,1023289,2563991.530944625,52,2,{'c6gd.2xlarge_use1-az6': 13}
0.03,0.3991,1023289,2563991.530944625,52,2,{'c6gd.2xlarge_use1-az6': 13}
0.04,0.3991,1023289,2563991.530944625,52,2,{'c6gd.2xlarge_use1-az6': 13}
0.05,0.3991,1023289,2563991.530944625,52,2,{'c6gd.2xlarge_use1-az6': 13}
0.06,0.3991,1023289,2563991.530944625,52,2,{'c6gd.2xlarge_use1-az6': 13}
0.07,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.08,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.09,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.1,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.11,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.12,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.13,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.14,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.15,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.16,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.17,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.18,0.4005,1039100,2594508.949313358,50,0,"{'c6gd.2xlarge_use1-az6': 12, 'r8a.xlarge_use1-az2': 1}"
0.19,0.8021,2363158,2946214.7550180773,50,0,"{'r8a.24xlarge_use1-az4': 1, 'r8a.xlarge_use1-az2': 1}"
0.2,1.2187999999999999,3592001,2947162.3396783727,76,26,"{'r8a.24xlarge_use1-az4': 1, 'r8a.4xlarge_use1-az6': 1, 'r8a.xlarge_use1-az2': 10}"
0.21,11.974599999999999,34691171,2897063.11621265,734,684,"{'r8a.24xlarge_use1-az2': 1, 'r8a.24xlarge_use1-az4': 1, 'r8a.24xlarge_use1-az6': 1, 'r8a.2xlarge_use1-az2': 1, 'r8a.2xlarge_use1-az4': 1, 'r8a.2xlarge_use1-az6': 1, 'r8a.48xlarge_use1-az6': 1, 'r8a.4xlarge_use1-az2': 1, 'r8a.4xlarge_use1-az4': 1, 'r8a.4xlarge_use1-az6': 1, 'r8a.large_use1-az2': 25, 'r8a.large_use1-az4': 25, 'r8a.large_use1-az6': 20, 'r8a.metal-24xl_use1-az2': 1, 'r8a.metal-24xl_use1-az4': 1, 'r8a.metal-24xl_use1-az6': 1, 'r8a.metal-48xl_use1-az2': 1, 'r8a.metal-48xl_use1-az6': 1, 'r8a.xlarge_use1-az2': 10, 'r8a.xlarge_use1-az4': 15, 'r8a.xlarge_use1-az6': 1}"
0.22,11.974599999999999,34691171,2897063.11621265,734,684,"{'r8a.24xlarge_use1-az2': 1, 'r8a.24xlarge_use1-az4': 1, 'r8a.24xlarge_use1-az6': 1, 'r8a.2xlarge_use1-az2': 1, 'r8a.2xlarge_use1-az4': 1, 'r8a.2xlarge_use1-az6': 1, 'r8a.48xlarge_use1-az6': 1, 'r8a.4xlarge_use1-az2': 1, 'r8a.4xlarge_use1-az4': 1, 'r8a.4xlarge_use1-az6': 1, 'r8a.large_use1-az2': 25, 'r8a.large_use1-az4': 25, 'r8a.large_use1-az6': 20, 'r8a.metal-24xl_use1-az2': 1, 'r8a.metal-24xl_use1-az4': 1, 'r8a.metal-24xl_use1-az6': 1, 'r8a.metal-48xl_use1-az2': 1, 'r8a.metal-48xl_use1-az6': 1, 'r8a.xlarge_use1-az2': 10, 'r8a.xlarge_use1-az4': 15, 'r8a.xlarge_use1-az6': 1}"
