InstanceType,InstanceFamily,InstanceCategory,InstanceCharacter,vCPU,Memory,CoreMark,CpuModel,ModelName,Vendor
a1.medium,a1,General,a,1,2.0,,Cortex-A72,Cortex-A72,AWS
a1.large,a1,General,a,2,4.0,,Cortex-A72,Cortex-A72,AWS
a1.xlarge,a1,General,a,4,8.0,,Cortex-A72,Cortex-A72,AWS
a1.2xlarge,a1,General,a,8,16.0,,Cortex-A72,Cortex-A72,AWS
a1.4xlarge,a1,General,a,16,32.0,,Cortex-A72,Cortex-A72,AWS
c1.medium,c1,Computing,c,1,1.0,,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel
c1.xlarge,c1,Computing,c,4,7.0,,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,Intel
c3.large,c3,Computing,c,2,3.0,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.xlarge,c3,Computing,c,4,7.0,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.2xlarge,c3,Computing,c,8,15.0,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.4xlarge,c3,Computing,c,16,30.0,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c3.8xlarge,c3,Computing,c,32,60.0,,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,Intel
c4.large,c4,Computing,c,2,3.0,,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.xlarge,c4,Computing,c,4,7.0,,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.2xlarge,c4,Computing,c,8,15.0,,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.4xlarge,c4,Computing,c,16,30.0,,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c4.8xlarge,c4,Computing,c,32,60.0,,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel(R) Xeon(R) CPU E5-2666 v3 @ 2.90GHz,Intel
c5.large,c5,Computing,c,2,4.0,25334.1638072,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5.xlarge,c5,Computing,c,4,8.0,25343.5530924,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5.2xlarge,c5,Computing,c,8,16.0,25185.5018574,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5.4xlarge,c5,Computing,c,16,32.0,25416.9891866,Intel(R) Xeon(R) Platinum 8223CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
c5.9xlarge,c5,Computing,c,36,72.0,25775.331019800004,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5.12xlarge,c5,Computing,c,48,96.0,28280.3929114,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
c5.18xlarge,c5,Computing,c,72,144.0,25753.4321812,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5.24xlarge,c5,Computing,c,96,192.0,28198.69509,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
c5a.large,c5a,Computing,c,2,4.0,25741.5259838,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5a.xlarge,c5a,Computing,c,4,8.0,25675.7815368,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5a.2xlarge,c5a,Computing,c,8,16.0,25707.401216,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5a.4xlarge,c5a,Computing,c,16,32.0,25652.725096799997,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5a.8xlarge,c5a,Computing,c,32,64.0,25695.0604604,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5a.12xlarge,c5a,Computing,c,48,96.0,25686.3364664,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5a.16xlarge,c5a,Computing,c,64,128.0,25261.390485400003,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5a.24xlarge,c5a,Computing,c,96,192.0,25173.024361,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.large,c5ad,Computing,c,2,4.0,25722.6759,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.xlarge,c5ad,Computing,c,4,8.0,25603.8914,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.2xlarge,c5ad,Computing,c,8,16.0,25382.921,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.4xlarge,c5ad,Computing,c,16,32.0,25670.1421,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.8xlarge,c5ad,Computing,c,32,64.0,25690.6216,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.12xlarge,c5ad,Computing,c,48,96.0,25675.4019,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.16xlarge,c5ad,Computing,c,64,128.0,25258.0656,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5ad.24xlarge,c5ad,Computing,c,96,192.0,25209.2465,AMD EPYC 7R32,AMD EPYC 7R32,AMD
c5d.large,c5d,Computing,c,2,4.0,25379.4678,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5d.xlarge,c5d,Computing,c,4,8.0,25422.1435,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5d.2xlarge,c5d,Computing,c,8,16.0,25406.7688,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5d.4xlarge,c5d,Computing,c,16,32.0,25389.2496,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5d.9xlarge,c5d,Computing,c,36,72.0,25792.6322,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5d.12xlarge,c5d,Computing,c,48,96.0,28283.4333,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
c5d.18xlarge,c5d,Computing,c,72,144.0,25760.2507,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5d.24xlarge,c5d,Computing,c,96,192.0,28263.4929,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
c5n.large,c5n,Computing,c,2,5.0,25378.780024,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5n.xlarge,c5n,Computing,c,4,10.0,25402.903327,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5n.2xlarge,c5n,Computing,c,8,21.0,25394.801298,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5n.4xlarge,c5n,Computing,c,16,42.0,25403.409049,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5n.9xlarge,c5n,Computing,c,36,96.0,25765.3756172,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c5n.18xlarge,c5n,Computing,c,72,192.0,25763.0081642,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,Intel
c6a.large,c6a,Computing,c,2,4.0,33314.9004888,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.xlarge,c6a,Computing,c,4,8.0,33371.1748894,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.2xlarge,c6a,Computing,c,8,16.0,33373.383458000004,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.4xlarge,c6a,Computing,c,16,32.0,33305.3249148,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.8xlarge,c6a,Computing,c,32,64.0,33289.65002660001,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.12xlarge,c6a,Computing,c,48,96.0,33324.930290000004,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.16xlarge,c6a,Computing,c,64,128.0,34519.2044584,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.24xlarge,c6a,Computing,c,96,192.0,33373.607559000004,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.32xlarge,c6a,Computing,c,128,256.0,34539.950602799996,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6a.48xlarge,c6a,Computing,c,192,384.0,33388.224271600004,AMD EPYC 7R13 Processor,AMD EPYC 7R13 Processor,AMD
c6g.medium,c6g,Computing,c,1,2.0,19336.375908,AWS Graviton2 Processor,Neoverse-N1,AWS
c6g.large,c6g,Computing,c,2,4.0,19338.172986800004,AWS Graviton2 Processor,Neoverse-N1,AWS
c6g.xlarge,c6g,Computing,c,4,8.0,19240.044134999996,AWS Graviton2 Processor,Neoverse-N1,AWS
c6g.2xlarge,c6g,Computing,c,8,16.0,19334.7323786,AWS Graviton2 Processor,Neoverse-N1,AWS
c6g.4xlarge,c6g,Computing,c,16,32.0,19336.901911,AWS Graviton2 Processor,Neoverse-N1,AWS
c6g.8xlarge,c6g,Computing,c,32,64.0,19338.9945948,AWS Graviton2 Processor,Neoverse-N1,AWS
c6g.12xlarge,c6g,Computing,c,48,96.0,19340.1904786,AWS Graviton2 Processor,Neoverse-N1,AWS
c6g.16xlarge,c6g,Computing,c,64,128.0,19338.6211634,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.medium,c6gd,Computing,c,1,2.0,19343.0382,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.large,c6gd,Computing,c,2,4.0,19339.7418,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.xlarge,c6gd,Computing,c,4,8.0,19339.6675,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.2xlarge,c6gd,Computing,c,8,16.0,19332.938,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.4xlarge,c6gd,Computing,c,16,32.0,19340.5703,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.8xlarge,c6gd,Computing,c,32,64.0,19343.8567,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.12xlarge,c6gd,Computing,c,48,96.0,19335.1098,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gd.16xlarge,c6gd,Computing,c,64,128.0,19331.0703,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.medium,c6gn,Computing,c,1,2.0,19318.908766400004,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.large,c6gn,Computing,c,2,4.0,19340.7147556,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.xlarge,c6gn,Computing,c,4,8.0,19338.3219264,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.2xlarge,c6gn,Computing,c,8,16.0,19330.7700704,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.4xlarge,c6gn,Computing,c,16,32.0,19333.908780599995,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.8xlarge,c6gn,Computing,c,32,64.0,19339.3687546,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.12xlarge,c6gn,Computing,c,48,96.0,19336.9770258,AWS Graviton2 Processor,Neoverse-N1,AWS
c6gn.16xlarge,c6gn,Computing,c,64,128.0,19332.7130206,AWS Graviton2 Processor,Neoverse-N1,AWS
c6i.large,c6i,Computing,c,2,4.0,28979.9723826,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.xlarge,c6i,Computing,c,4,8.0,28981.01301,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.2xlarge,c6i,Computing,c,8,16.0,28993.581941399996,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.4xlarge,c6i,Computing,c,16,32.0,28990.399477599996,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.8xlarge,c6i,Computing,c,32,64.0,28991.614398399997,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.12xlarge,c6i,Computing,c,48,96.0,28988.062929999996,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.16xlarge,c6i,Computing,c,64,128.0,28992.4932682,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.24xlarge,c6i,Computing,c,96,192.0,28987.8711202,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6i.32xlarge,c6i,Computing,c,128,256.0,29018.165251799997,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.large,c6id,Computing,c,2,4.0,28984.3719,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.xlarge,c6id,Computing,c,4,8.0,28966.9726,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.2xlarge,c6id,Computing,c,8,16.0,28941.9924,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.4xlarge,c6id,Computing,c,16,32.0,28976.8133,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.8xlarge,c6id,Computing,c,32,64.0,28993.0782,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.12xlarge,c6id,Computing,c,48,96.0,28961.0229,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.16xlarge,c6id,Computing,c,64,128.0,28990.2103,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.24xlarge,c6id,Computing,c,96,192.0,29012.2559,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6id.32xlarge,c6id,Computing,c,128,256.0,29015.6428,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.large,c6in,Computing,c,2,4.0,28961.0424924,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.xlarge,c6in,Computing,c,4,8.0,28997.6357124,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.2xlarge,c6in,Computing,c,8,16.0,28934.0283186,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.4xlarge,c6in,Computing,c,16,32.0,28975.161768800004,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.8xlarge,c6in,Computing,c,32,64.0,28996.797534200003,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.12xlarge,c6in,Computing,c,48,96.0,29019.6688264,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.16xlarge,c6in,Computing,c,64,128.0,29027.4226862,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.24xlarge,c6in,Computing,c,96,192.0,29013.6204948,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c6in.32xlarge,c6in,Computing,c,128,256.0,28975.820881599997,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
c7a.medium,c7a,Computing,c,1,2.0,35533.93280540001,AMD EPYC 9R14,AMD EPYC 9R14,AMD
c7a.large,c7a,Computing,c,2,4.0,35674.582822599994,AMD EPYC 9R14,AMD EPYC 9R14,AMD
c7a.xlarge,c7a,Computing,c,4,8.0,35579.415888400006,AMD EPYC 9R14,AMD EPYC 9R14,AMD
