instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
c6g.medium,ap-northeast-1c,10,30.0,10,1,2,10.0,0.0,0.146,196786.35,0.0146,10,134785.1712
m6g.medium,ap-northeast-1d,10,5.0,10,1,4,10.0,0.0,0.149,197708.9612,0.0149,10,132690.578
c6gd.large,ap-northeast-1d,10,1.0,10,2,2,10.0,0.0,0.313,196786.35,0.0313,10,62871.0383
m8a.2xlarge,ap-northeast-1a,17,1.0,17,7,7,17.0,0.0,1.1985,813674.7587,0.0705,17,39935.9375
c6g.medium,ap-northeast-1c,50,30.0,50,1,2,50.0,0.0,0.73,983931.75,0.0146,50,26957.0342
m6g.medium,ap-northeast-1d,50,5.0,50,1,4,50.0,0.0,0.745,988544.8062,0.0149,50,26538.1156
c6gd.large,ap-northeast-1d,50,1.0,50,2,2,50.0,0.0,1.565,983931.75,0.0313,50,12574.2077
m8a.xlarge,ap-northeast-1c,75,1.0,75,3,5,75.0,0.0,2.7,3589741.5825,0.036,75,17727.1189
c6g.medium,ap-northeast-1c,100,30.0,100,1,2,100.0,0.0,1.46,1967863.5,0.0146,100,13478.5171
m6g.medium,ap-northeast-1d,100,5.0,100,1,4,100.0,0.0,1.49,1977089.6125,0.0149,100,13269.0578
c6gd.large,ap-northeast-1d,100,1.0,100,2,2,100.0,0.0,3.13,1967863.5,0.0313,100,6287.1038
m8a.xlarge,ap-northeast-1c,115,1.0,115,4,2,115.0,0.0,4.14,5504270.4265,0.036,115,11561.1645
r7a.medium,ap-northeast-1c,287,45.0,287,1,6,287.0,0.0,8.0073,9625846.6233,0.0279,287,4188.6198
c6g.medium,ap-northeast-1c,400,30.0,400,1,2,400.0,0.0,5.84,7871454.0,0.0146,400,3369.6293
m6g.medium,ap-northeast-1d,400,5.0,400,1,4,400.0,0.0,5.96,7908358.45,0.0149,400,3317.2645
c6gd.large,ap-northeast-1d,400,1.0,400,2,2,400.0,0.0,12.52,7871454.0,0.0313,400,1571.776
m8a.xlarge,ap-northeast-1c,439,1.0,439,1,9,439.0,0.0,15.804,21011954.0629,0.036,439,3028.5511
c6g.medium,ap-northeast-1c,1000,30.0,1000,1,2,1000.0,0.0,14.6,19678635.0,0.0146,1000,1347.8517
m6g.medium,ap-northeast-1d,1000,5.0,1000,1,4,1000.0,0.0,14.9,19770896.125,0.0149,1000,1326.9058
c6gd.large,ap-northeast-1d,1000,1.0,1000,2,2,1000.0,0.0,31.3,19678635.0,0.0313,1000,628.7104
